interaction_id,user_id,place_id,type,rating,dwell_sec,timestamp
i_000182,u_0010,p_0110,click,,346,2025-09-11T03:41:43
i_000183,u_0010,p_0014,view,,323,2025-08-01T16:54:43
i_000184,u_0010,p_0011,view,,268,2025-09-02T20:31:43
i_000185,u_0010,p_0108,click,4.6,319,2025-09-21T16:29:43
i_000186,u_0010,p_0017,save,5.0,,2025-10-07T09:49:43
i_000187,u_0010,p_0007,click,3.5,367,2025-10-17T01:03:43
i_000188,u_0010,p_0108,view,,513,2025-10-01T19:19:43
i_000189,u_0010,p_0006,view,,238,2025-10-01T19:41:43
i_000190,u_0010,p_0007,checkin,3.9,,2025-07-10T15:32:43
i_000191,u_0010,p_0006,view,,412,2025-08-28T22:51:43
i_000192,u_0010,p_0119,view,,191,2025-09-07T16:09:43
i_000193,u_0010,p_0046,view,,52,2025-10-09T00:59:43
i_000194,u_0010,p_0015,view,,251,2025-10-23T18:56:43
i_000195,u_0010,p_0119,view,,270,2025-07-31T17:57:43
i_000196,u_0010,p_0050,view,,84,2025-10-10T23:07:43
i_000197,u_0010,p_0119,view,,256,2025-09-25T05:26:43
i_000198,u_0010,p_0051,view,,108,2025-09-21T07:57:43
i_000199,u_0010,p_0006,save,,,2025-08-29T04:17:43
i_000200,u_0010,p_0011,view,,153,2025-10-06T01:32:43
i_000201,u_0010,p_0006,checkin,4.4,,2025-09-11T01:47:43
i_000202,u_0010,p_0018,view,,215,2025-08-16T23:39:43
i_000203,u_0010,p_0101,click,,371,2025-07-13T08:53:43
i_000204,u_0010,p_0108,click,,349,2025-08-30T15:18:43
i_000205,u_0011,p_0105,save,4.4,,2025-10-17T11:55:43
i_000206,u_0011,p_0103,checkin,,,2025-08-22T17:31:43
i_000207,u_0011,p_0005,view,,387,2025-07-29T21:28:43
i_000208,u_0011,p_0010,click,3.2,34,2025-09-11T14:00:43
i_000209,u_0011,p_0011,view,,332,2025-10-04T15:55:43
i_000210,u_0011,p_0043,view,,359,2025-10-02T02:46:43
i_000211,u_0011,p_0062,click,,104,2025-09-12T01:54:43
i_000212,u_0011,p_0001,save,4.3,,2025-07-23T21:15:43
i_000213,u_0011,p_0017,click,,233,2025-10-31T14:45:43
i_000214,u_0011,p_0110,click,4.0,371,2025-08-24T02:05:43
i_000215,u_0011,p_0108,view,,445,2025-10-26T18:05:43
i_000216,u_0011,p_0058,click,,204,2025-10-10T09:36:43
i_000217,u_0011,p_0106,click,,198,2025-07-17T06:31:43
i_000218,u_0011,p_0106,checkin,4.4,,2025-09-28T17:16:43
i_000219,u_0011,p_0107,save,,,2025-08-24T03:43:43
i_000220,u_0011,p_0116,view,,217,2025-07-15T11:14:43
i_000221,u_0011,p_0103,view,,433,2025-10-24T19:13:43
i_000222,u_0011,p_0017,view,,290,2025-09-19T20:03:43
i_000223,u_0011,p_0005,view,,247,2025-09-11T07:17:43
i_000224,u_0011,p_0105,click,3.4,321,2025-09-27T21:41:43
i_000225,u_0012,p_0014,view,,231,2025-09-05T20:34:43
i_000226,u_0012,p_0005,click,,291,2025-08-11T00:39:43
i_000227,u_0012,p_0011,save,5.0,,2025-08-12T14:43:43
i_000228,u_0012,p_0019,view,,274,2025-10-06T17:52:43
i_000229,u_0012,p_0113,checkin,,,2025-08-12T03:03:43
i_000230,u_0012,p_0051,view,,71,2025-09-28T09:52:43
i_000231,u_0012,p_0005,save,3.4,,2025-08-04T06:54:43
i_000232,u_0012,p_0116,click,3.6,74,2025-09-13T05:41:43
i_000233,u_0012,p_0013,view,,361,2025-10-24T22:06:43
i_000234,u_0012,p_0110,view,,276,2025-09-16T08:18:43
i_000235,u_0012,p_0003,click,3.8,73,2025-09-02T23:27:43
i_000236,u_0012,p_0014,save,,,2025-09-16T14:53:43
i_000237,u_0012,p_0046,checkin,,,2025-09-22T18:07:43
i_000238,u_0012,p_0017,click,5.0,229,2025-08-06T19:55:43
i_000239,u_0012,p_0004,view,,189,2025-10-16T17:22:43
i_000240,u_0012,p_0019,click,3.8,264,2025-07-24T17:58:43
i_000241,u_0012,p_0043,checkin,3.6,,2025-08-25T06:57:43
i_000242,u_0013,p_0101,view,,181,2025-07-09T20:40:43
i_000243,u_0013,p_0043,save,,,2025-09-29T03:47:43
i_000244,u_0013,p_0007,view,,53,2025-08-20T16:01:43
i_000245,u_0013,p_0017,view,,258,2025-08-26T02:54:43
i_000246,u_0013,p_0011,view,,169,2025-09-29T06:03:43
i_000247,u_0013,p_0005,click,3.9,258,2025-09-27T23:46:43
i_000248,u_0013,p_0113,view,,135,2025-09-20T11:06:43
i_000249,u_0013,p_0050,click,2.7,204,2025-08-22T23:58:43
i_000250,u_0013,p_0012,view,,291,2025-09-19T04:48:43
i_000251,u_0013,p_0054,view,,119,2025-07-28T07:50:43
i_000252,u_0013,p_0119,save,,,2025-10-05T11:19:43
i_000253,u_0013,p_0001,view,,288,2025-07-12T14:50:43
i_000254,u_0013,p_0113,save,,,2025-10-03T16:59:43
i_000255,u_0013,p_0055,view,,315,2025-08-23T16:48:43
i_000256,u_0013,p_0101,save,,,2025-10-08T21:45:43
i_000257,u_0013,p_0067,view,,290,2025-09-25T06:39:43
i_000258,u_0013,p_0101,save,4.0,,2025-09-05T19:10:43
i_000259,u_0013,p_0008,view,,329,2025-07-10T23:12:43
i_000260,u_0013,p_0110,click,,338,2025-10-08T00:16:43
i_000261,u_0013,p_0107,click,2.9,299,2025-08-15T06:40:43
i_000262,u_0013,p_0050,view,,111,2025-09-11T11:38:43
i_000263,u_0013,p_0050,view,,177,2025-08-21T19:42:43
i_000264,u_0013,p_0005,view,,297,2025-09-20T21:45:43
i_000265,u_0013,p_0006,view,,240,2025-07-30T06:35:43
i_000266,u_0013,p_0101,save,5.0,,2025-10-29T09:59:43
i_000267,u_0013,p_0105,click,4.7,246,2025-08-07T18:26:43
i_000268,u_0013,p_0019,save,,,2025-07-07T23:29:43
i_000269,u_0013,p_0110,view,,276,2025-10-30T23:08:43
i_000270,u_0013,p_0109,click,3.4,117,2025-08-29T05:26:43
i_000271,u_0013,p_0063,save,4.1,,2025-07-11T18:51:43
i_000272,u_0014,p_0108,click,4.1,258,2025-10-16T18:47:43
i_000273,u_0014,p_0062,view,,153,2025-09-07T08:16:43
i_000274,u_0014,p_0019,click,4.2,251,2025-09-20T17:15:43
i_000275,u_0014,p_0046,checkin,3.8,,2025-11-04T17:07:43
i_000276,u_0014,p_0062,view,,140,2025-08-22T12:13:43
i_000277,u_0014,p_0103,view,,118,2025-10-16T14:00:43
i_000278,u_0014,p_0007,click,3.9,95,2025-08-27T21:39:43
i_000279,u_0014,p_0005,click,,294,2025-09-02T10:04:43
i_000280,u_0014,p_0015,save,4.4,,2025-10-03T03:02:43
i_000281,u_0014,p_0019,click,3.4,99,2025-07-28T10:12:43
i_000282,u_0014,p_0058,view,,165,2025-09-28T05:28:43
i_000283,u_0014,p_0106,click,3.9,221,2025-09-08T07:57:43
i_000284,u_0014,p_0112,view,,343,2025-07-16T23:47:43
i_000285,u_0014,p_0065,view,,95,2025-09-18T18:01:43
i_000286,u_0014,p_0102,view,,310,2025-09-02T00:16:43
i_000287,u_0014,p_0053,save,,,2025-07-11T11:26:43
i_000288,u_0014,p_0101,view,,226,2025-08-29T06:56:43
i_000289,u_0014,p_0049,view,,91,2025-08-26T08:28:43
i_000290,u_0014,p_0108,save,5.0,,2025-10-27T00:23:43
i_000291,u_0014,p_0057,view,,317,2025-10-18T04:45:43
i_000292,u_0015,p_0040,view,,232,2025-07-08T03:53:43
i_000293,u_0015,p_0007,save,3.4,,2025-08-22T19:19:43
i_000294,u_0015,p_0011,view,,378,2025-08-02T09:47:43
i_000295,u_0015,p_0107,click,,208,2025-08-13T23:39:43
i_000296,u_0015,p_0011,view,,219,2025-08-23T20:51:43
i_000297,u_0015,p_0002,view,,213,2025-10-07T17:48:43
i_000298,u_0015,p_0105,checkin,,,2025-10-05T08:09:43
i_000299,u_0015,p_0113,view,,290,2025-07-13T23:57:43
i_000300,u_0015,p_0006,view,,272,2025-08-16T12:14:43
i_000301,u_0015,p_0111,view,,279,2025-07-26T18:16:43
i_000302,u_0015,p_0056,click,3.5,155,2025-10-31T17:39:43
i_000303,u_0015,p_0001,click,,343,2025-08-16T16:43:43
i_000304,u_0015,p_0107,view,,259,2025-09-05T21:10:43
i_000305,u_0015,p_0101,save,,,2025-08-03T12:10:43
i_000306,u_0015,p_0117,click,,264,2025-07-08T20:28:43
i_000307,u_0015,p_0014,save,3.8,,2025-07-15T20:14:43
i_000308,u_0015,p_0003,view,,289,2025-08-15T12:04:43
i_000309,u_0015,p_0104,click,,202,2025-10-05T23:13:43
i_000310,u_0016,p_0042,checkin,,,2025-10-28T09:19:43
i_000311,u_0016,p_0112,click,4.2,136,2025-07-08T19:46:43
i_000312,u_0016,p_0004,view,,178,2025-08-15T19:49:43
i_000313,u_0016,p_0062,click,3.0,140,2025-08-06T06:59:43
i_000314,u_0016,p_0014,view,,288,2025-09-14T01:53:43
i_000315,u_0016,p_0101,view,,145,2025-08-30T09:27:43
i_000316,u_0016,p_0006,view,,349,2025-09-19T22:07:43
i_000317,u_0016,p_0117,click,3.4,80,2025-07-07T22:49:43
i_000318,u_0016,p_0106,checkin,4.7,,2025-09-02T16:59:43
i_000319,u_0016,p_0059,click,,281,2025-08-17T10:02:43
i_000320,u_0016,p_0101,view,,200,2025-08-05T16:26:43
i_000321,u_0016,p_0005,click,,327,2025-10-20T11:06:43
i_000322,u_0016,p_0006,view,,374,2025-07-20T03:51:43
i_000323,u_0016,p_0008,view,,313,2025-10-16T05:44:43
i_000324,u_0016,p_0108,save,4.8,,2025-10-28T13:13:43
i_000325,u_0016,p_0016,view,,298,2025-11-01T17:15:43
i_000326,u_0016,p_0045,save,4.2,,2025-10-24T19:28:43
i_000327,u_0016,p_0066,view,,274,2025-09-22T21:32:43
i_000328,u_0016,p_0053,save,3.6,,2025-10-07T08:19:43
i_000329,u_0016,p_0013,view,,197,2025-10-22T04:18:43
i_000330,u_0016,p_0060,view,,242,2025-08-31T12:26:43
i_000331,u_0016,p_0107,view,,111,2025-08-29T05:04:43
i_000332,u_0016,p_0050,view,,172,2025-08-24T17:58:43
i_000333,u_0017,p_0055,view,,227,2025-09-06T08:28:43
i_000334,u_0017,p_0105,checkin,3.6,,2025-07-25T06:31:43
i_000335,u_0017,p_0008,view,,171,2025-07-14T22:36:43
i_000336,u_0017,p_0008,view,,211,2025-08-28T07:48:43
i_000337,u_0017,p_0114,view,,209,2025-09-16T18:34:43
i_000338,u_0017,p_0110,view,,312,2025-08-07T13:32:43
i_000339,u_0017,p_0113,click,3.9,41,2025-09-28T08:15:43
i_000340,u_0017,p_0008,click,,290,2025-08-07T17:31:43
i_000341,u_0017,p_0017,click,,314,2025-07-18T06:42:43
i_000342,u_0017,p_0008,view,,87,2025-08-26T13:43:43
i_000343,u_0017,p_0065,view,,76,2025-08-10T05:53:43
i_000344,u_0017,p_0019,click,,281,2025-07-13T22:34:43
i_000345,u_0017,p_0112,save,,,2025-07-21T01:49:43
i_000346,u_0017,p_0005,view,,381,2025-08-24T13:14:43
i_000347,u_0017,p_0012,view,,115,2025-08-25T15:22:43
i_000348,u_0017,p_0014,save,,,2025-09-10T20:53:43
i_000349,u_0017,p_0113,view,,101,2025-09-24T22:06:43
i_000350,u_0017,p_0007,view,,244,2025-09-08T19:36:43
i_000351,u_0018,p_0112,view,,189,2025-09-20T00:46:43
i_000352,u_0018,p_0055,click,5.0,270,2025-10-03T11:06:43
i_000353,u_0018,p_0004,click,4.0,142,2025-11-05T14:30:43
i_000354,u_0018,p_0046,click,,219,2025-08-15T09:00:43
i_000355,u_0018,p_0008,checkin,,,2025-10-28T03:45:43
i_000356,u_0018,p_0040,checkin,,,2025-10-13T18:01:43
i_000357,u_0018,p_0107,save,,,2025-09-13T09:10:43
i_000358,u_0018,p_0012,click,2.8,278,2025-08-04T17:40:43
i_000359,u_0018,p_0104,view,,233,2025-08-09T22:21:43
i_000360,u_0018,p_0047,checkin,,,2025-10-11T12:51:43
i_000361,u_0018,p_0049,click,,235,2025-09-13T03:36:43
i_000362,u_0018,p_0017,view,,291,2025-08-04T10:54:43
i_000363,u_0018,p_0103,click,3.7,92,2025-08-15T16:07:43
i_000364,u_0018,p_0014,view,,229,2025-11-01T13:01:43
i_000365,u_0018,p_0065,click,3.7,261,2025-10-04T00:01:43
i_000366,u_0019,p_0106,checkin,4.1,,2025-08-15T17:00:43
i_000367,u_0019,p_0116,view,,254,2025-11-01T23:20:43
i_000368,u_0019,p_0018,save,3.2,,2025-09-22T13:25:43
i_000369,u_0019,p_0102,click,,127,2025-09-22T14:07:43
i_000370,u_0019,p_0101,click,,185,2025-07-15T03:55:43
i_000371,u_0019,p_0051,click,3.2,149,2025-10-29T19:56:43
i_000372,u_0019,p_0006,checkin,4.4,,2025-07-29T07:50:43
i_000373,u_0019,p_0112,view,,310,2025-10-09T17:02:43
i_000374,u_0019,p_0007,click,3.8,209,2025-08-21T01:20:43
i_000375,u_0019,p_0108,click,4.5,286,2025-10-20T05:52:43
i_000376,u_0019,p_0016,view,,225,2025-10-23T18:12:43
i_000377,u_0019,p_0008,view,,379,2025-08-20T01:04:43
i_000378,u_0019,p_0104,save,5.0,,2025-07-10T20:00:43
i_000379,u_0019,p_0103,checkin,,,2025-07-19T06:25:43
i_000380,u_0019,p_0102,checkin,4.3,,2025-09-15T00:25:43
i_000381,u_0019,p_0047,checkin,,,2025-09-10T12:54:43
i_000382,u_0019,p_0013,view,,94,2025-08-20T09:42:43
i_000383,u_0019,p_0017,view,,319,2025-08-14T08:11:43
i_000384,u_0019,p_0009,view,,102,2025-07-15T10:44:43
i_000385,u_0019,p_0003,view,,235,2025-07-15T12:00:43
i_000386,u_0019,p_0007,view,,308,2025-10-16T13:23:43
i_000387,u_0019,p_0007,save,,,2025-10-27T22:47:43
i_000388,u_0019,p_0116,view,,232,2025-09-24T03:19:43
i_000389,u_0019,p_0056,click,2.5,249,2025-07-09T16:09:43
i_000390,u_0019,p_0065,click,4.5,153,2025-10-27T13:55:43
i_000391,u_0019,p_0012,view,,171,2025-08-14T07:00:43
i_000392,u_0020,p_0007,save,,,2025-10-10T15:32:43
i_000393,u_0020,p_0019,click,4.9,94,2025-09-28T07:32:43
i_000394,u_0020,p_0014,view,,183,2025-07-28T21:26:43
i_000395,u_0020,p_0008,view,,270,2025-10-16T02:51:43
i_000396,u_0020,p_0119,view,,150,2025-10-28T18:04:43
i_000397,u_0020,p_0047,save,,,2025-10-31T01:15:43
i_000398,u_0020,p_0113,view,,273,2025-08-28T00:56:43
i_000399,u_0020,p_0011,save,4.8,,2025-08-27T01:10:43
i_000400,u_0020,p_0055,save,4.2,,2025-10-03T10:09:43
i_000401,u_0020,p_0015,click,,388,2025-07-08T18:16:43
i_000402,u_0020,p_0007,view,,312,2025-10-21T01:24:43
i_000403,u_0020,p_0106,view,,192,2025-10-05T03:59:43
i_000404,u_0020,p_0007,save,3.8,,2025-10-11T06:26:43
i_000405,u_0020,p_0013,view,,218,2025-08-19T22:15:43
i_000406,u_0020,p_0046,view,,118,2025-08-08T00:52:43
i_000407,u_0020,p_0015,click,,124,2025-07-21T21:40:43
i_000408,u_0020,p_0106,save,,,2025-09-14T09:49:43
i_000409,u_0020,p_0009,checkin,,,2025-07-28T06:23:43
i_000410,u_0020,p_0041,click,2.8,134,2025-09-20T23:36:43
i_000411,u_0020,p_0043,view,,190,2025-08-08T20:21:43
